[INFO ] 2017-09-19 10:16:07,853 --main-- [com.avalon.ms.service.IPSwapService] IPSwapService instance object hashcode 171493374 
[INFO ] 2017-09-19 10:16:07,858 --main-- [com.avalon.ms.timer.task.RegTask] current thread main regTask ojbect hashcode 252277567 
[INFO ] 2017-09-19 10:16:07,858 --main-- [org.springframework.context.support.ClassPathXmlApplicationContext] Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@e350b40: startup date [Tue Sep 19 10:16:07 CST 2017]; root of context hierarchy 
[INFO ] 2017-09-19 10:16:07,858 --main-- [org.springframework.beans.factory.xml.XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [ApplicationContext.xml] 
[INFO ] 2017-09-19 10:16:07,911 --main-- [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter] Looking for @ControllerAdvice: org.springframework.context.support.ClassPathXmlApplicationContext@e350b40: startup date [Tue Sep 19 10:16:07 CST 2017]; root of context hierarchy 
[INFO ] 2017-09-19 10:16:07,914 --main-- [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter] Looking for @ControllerAdvice: org.springframework.context.support.ClassPathXmlApplicationContext@e350b40: startup date [Tue Sep 19 10:16:07 CST 2017]; root of context hierarchy 
[INFO ] 2017-09-19 10:16:07,926 --main-- [com.avalon.ms.service.IPSwapService] IPSwapService init tryTimes 4 
[INFO ] 2017-09-19 10:16:07,926 --main-- [com.avalon.ms.service.IPSwapService] IPSwapService instance object hashcode 212890971 
[INFO ] 2017-09-19 10:16:07,926 --main-- [com.avalon.ms.timer.task.QueryTask] current thread main queryTask ojbect hashcode 856055143 
[INFO ] 2017-09-19 10:16:07,943 --main-- [org.springframework.context.support.ClassPathXmlApplicationContext] Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@742ff096: startup date [Tue Sep 19 10:16:07 CST 2017]; root of context hierarchy 
[INFO ] 2017-09-19 10:16:07,943 --main-- [org.springframework.beans.factory.xml.XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [ApplicationContext.xml] 
[INFO ] 2017-09-19 10:16:08,018 --main-- [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter] Looking for @ControllerAdvice: org.springframework.context.support.ClassPathXmlApplicationContext@742ff096: startup date [Tue Sep 19 10:16:07 CST 2017]; root of context hierarchy 
[INFO ] 2017-09-19 10:16:08,022 --main-- [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter] Looking for @ControllerAdvice: org.springframework.context.support.ClassPathXmlApplicationContext@742ff096: startup date [Tue Sep 19 10:16:07 CST 2017]; root of context hierarchy 
[INFO ] 2017-09-19 10:16:08,034 --main-- [com.avalon.ms.service.IPSwapService] IPSwapService init tryTimes 4 
[INFO ] 2017-09-19 10:16:08,034 --main-- [com.avalon.ms.service.IPSwapService] IPSwapService instance object hashcode 1363560175 
[INFO ] 2017-09-19 10:16:08,036 --main-- [com.avalon.ms.timer.task.TransferTask] current thread main transferTask ojbect hashcode 811597470 
[INFO ] 2017-09-19 10:16:08,428 --pool-1-thread-1-- [com.avalon.ms.timer.task.QueryTask] thread pool-1-thread-1 query execute   
[INFO ] 2017-09-19 10:16:08,430 --pool-1-thread-1-- [com.avalon.ms.timer.task.QueryTask] 开启多线程执行查询任务，线程数4 
[INFO ] 2017-09-19 10:16:08,431 --pool-2-thread-1-- [com.avalon.ms.service.IPSwapService]  method query index 0 tryTimes 4 
[INFO ] 2017-09-19 10:16:08,432 --pool-2-thread-2-- [com.avalon.ms.service.IPSwapService]  method query index 0 tryTimes 4 
[INFO ] 2017-09-19 10:16:08,432 --pool-2-thread-4-- [com.avalon.ms.service.IPSwapService]  method query index 0 tryTimes 4 
[INFO ] 2017-09-19 10:16:08,433 --pool-2-thread-3-- [com.avalon.ms.service.IPSwapService]  method query index 0 tryTimes 4 
[INFO ] 2017-09-19 10:16:08,753 --pool-2-thread-2-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/ipswap/query HTTP/1.1 
[INFO ] 2017-09-19 10:16:08,753 --pool-2-thread-3-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/ipswap/query HTTP/1.1 
[INFO ] 2017-09-19 10:16:08,753 --pool-2-thread-1-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/ipswap/query HTTP/1.1 
[INFO ] 2017-09-19 10:16:08,753 --pool-2-thread-4-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/ipswap/query HTTP/1.1 
[INFO ] 2017-09-19 10:16:08,802 --pool-2-thread-4-- [com.avalon.ms.common.util.HttpClientUtil] httpclient close! 
[INFO ] 2017-09-19 10:16:08,803 --pool-2-thread-4-- [com.avalon.ms.service.IPSwapService] thread pool-2-thread-4 try times 3 ipIndex 0 changeFlag false 
[INFO ] 2017-09-19 10:16:08,803 --pool-2-thread-1-- [com.avalon.ms.common.util.HttpClientUtil] httpclient close! 
[INFO ] 2017-09-19 10:16:08,804 --pool-2-thread-2-- [com.avalon.ms.common.util.HttpClientUtil] httpclient close! 
[INFO ] 2017-09-19 10:16:08,804 --pool-2-thread-1-- [com.avalon.ms.service.IPSwapService] thread pool-2-thread-1 try times 2 ipIndex 0 changeFlag false 
[INFO ] 2017-09-19 10:16:08,804 --pool-2-thread-2-- [com.avalon.ms.service.IPSwapService] thread pool-2-thread-2 try times 1 ipIndex 0 changeFlag false 
[INFO ] 2017-09-19 10:16:08,807 --pool-2-thread-3-- [com.avalon.ms.common.util.HttpClientUtil] httpclient close! 
[INFO ] 2017-09-19 10:16:08,807 --pool-2-thread-3-- [com.avalon.ms.service.IPSwapService] thread pool-2-thread-3 try times 0 ipIndex 0 changeFlag false 
[INFO ] 2017-09-19 10:16:08,808 --pool-1-thread-1-- [com.avalon.ms.timer.task.QueryTask] 关闭多线程 
[INFO ] 2017-09-19 10:16:18,809 --pool-1-thread-1-- [com.avalon.ms.timer.task.QueryTask] thread pool-1-thread-1 query execute   
[INFO ] 2017-09-19 10:16:18,810 --pool-1-thread-1-- [com.avalon.ms.timer.task.QueryTask] 开启多线程执行查询任务，线程数4 
[INFO ] 2017-09-19 10:16:18,811 --pool-3-thread-1-- [com.avalon.ms.service.IPSwapService]  method query index 0 tryTimes 0 
[INFO ] 2017-09-19 10:16:18,811 --pool-3-thread-2-- [com.avalon.ms.service.IPSwapService]  method query index 0 tryTimes 0 
[INFO ] 2017-09-19 10:16:18,811 --pool-3-thread-3-- [com.avalon.ms.service.IPSwapService]  method query index 0 tryTimes 0 
[INFO ] 2017-09-19 10:16:18,811 --pool-3-thread-4-- [com.avalon.ms.service.IPSwapService]  method query index 0 tryTimes 0 
[INFO ] 2017-09-19 10:16:18,841 --pool-3-thread-4-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/ipswap/query HTTP/1.1 
[INFO ] 2017-09-19 10:16:18,847 --pool-3-thread-3-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/ipswap/query HTTP/1.1 
[INFO ] 2017-09-19 10:16:18,852 --pool-3-thread-2-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/ipswap/query HTTP/1.1 
[INFO ] 2017-09-19 10:16:18,854 --pool-3-thread-4-- [com.avalon.ms.common.util.HttpClientUtil] httpclient close! 
[INFO ] 2017-09-19 10:16:18,859 --pool-3-thread-3-- [com.avalon.ms.common.util.HttpClientUtil] httpclient close! 
[INFO ] 2017-09-19 10:16:18,861 --pool-3-thread-2-- [com.avalon.ms.common.util.HttpClientUtil] httpclient close! 
[INFO ] 2017-09-19 10:16:18,868 --pool-3-thread-1-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/ipswap/query HTTP/1.1 
[INFO ] 2017-09-19 10:16:18,871 --pool-3-thread-1-- [com.avalon.ms.common.util.HttpClientUtil] httpclient close! 
[INFO ] 2017-09-19 10:16:18,872 --pool-1-thread-1-- [com.avalon.ms.timer.task.QueryTask] 关闭多线程 
[INFO ] 2017-09-19 10:16:28,873 --pool-1-thread-2-- [com.avalon.ms.timer.task.QueryTask] thread pool-1-thread-2 query execute   
[INFO ] 2017-09-19 10:16:28,873 --pool-1-thread-2-- [com.avalon.ms.timer.task.QueryTask] 开启多线程执行查询任务，线程数4 
[INFO ] 2017-09-19 10:16:28,873 --pool-4-thread-1-- [com.avalon.ms.service.IPSwapService]  method query index 0 tryTimes 0 
[INFO ] 2017-09-19 10:16:28,873 --pool-4-thread-2-- [com.avalon.ms.service.IPSwapService]  method query index 0 tryTimes 0 
[INFO ] 2017-09-19 10:16:28,873 --pool-4-thread-3-- [com.avalon.ms.service.IPSwapService]  method query index 0 tryTimes 0 
[INFO ] 2017-09-19 10:16:28,874 --pool-4-thread-4-- [com.avalon.ms.service.IPSwapService]  method query index 0 tryTimes 0 
[INFO ] 2017-09-19 10:16:28,878 --pool-4-thread-3-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/ipswap/query HTTP/1.1 
[INFO ] 2017-09-19 10:16:28,879 --pool-4-thread-1-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/ipswap/query HTTP/1.1 
[INFO ] 2017-09-19 10:16:28,882 --pool-4-thread-3-- [com.avalon.ms.common.util.HttpClientUtil] httpclient close! 
[INFO ] 2017-09-19 10:16:28,883 --pool-4-thread-2-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/ipswap/query HTTP/1.1 
[INFO ] 2017-09-19 10:16:28,886 --pool-4-thread-1-- [com.avalon.ms.common.util.HttpClientUtil] httpclient close! 
[INFO ] 2017-09-19 10:16:28,886 --pool-4-thread-1-- [com.avalon.ms.service.IPSwapService] machine change index 1 
[INFO ] 2017-09-19 10:16:28,886 --pool-4-thread-1-- [com.avalon.ms.service.IPSwapService] thread pool-4-thread-1 try times 4 ipIndex 1 changeFlag true 
[INFO ] 2017-09-19 10:16:28,887 --pool-4-thread-4-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/ipswap/query HTTP/1.1 
[INFO ] 2017-09-19 10:16:28,889 --pool-4-thread-2-- [com.avalon.ms.common.util.HttpClientUtil] httpclient close! 
[INFO ] 2017-09-19 10:16:28,890 --pool-4-thread-2-- [com.avalon.ms.service.IPSwapService] thread pool-4-thread-2 try times 3 ipIndex 1 changeFlag true 
[INFO ] 2017-09-19 10:16:28,892 --pool-4-thread-4-- [com.avalon.ms.common.util.HttpClientUtil] httpclient close! 
[INFO ] 2017-09-19 10:16:28,892 --pool-4-thread-4-- [com.avalon.ms.service.IPSwapService] thread pool-4-thread-4 try times 2 ipIndex 1 changeFlag true 
[INFO ] 2017-09-19 10:16:28,893 --pool-1-thread-2-- [com.avalon.ms.timer.task.QueryTask] 关闭多线程 
[INFO ] 2017-09-19 10:16:38,894 --pool-1-thread-2-- [com.avalon.ms.timer.task.QueryTask] thread pool-1-thread-2 query execute   
[INFO ] 2017-09-19 10:16:38,894 --pool-1-thread-2-- [com.avalon.ms.timer.task.QueryTask] 开启多线程执行查询任务，线程数4 
[INFO ] 2017-09-19 10:16:38,895 --pool-5-thread-2-- [com.avalon.ms.service.IPSwapService]  method query index 1 tryTimes 2 
[INFO ] 2017-09-19 10:16:38,895 --pool-5-thread-3-- [com.avalon.ms.service.IPSwapService]  method query index 1 tryTimes 2 
