[INFO ] 2017-09-06 16:48:52,069 --pool-1-thread-1-- [com.avalon.ms.schedule.task.service.PrintService] print task end! 
[INFO ] 2017-09-06 16:49:52,070 --pool-1-thread-1-- [com.avalon.ms.schedule.task.service.PrintService] print task start! size 5 
[INFO ] 2017-09-06 16:49:52,094 --pool-3-thread-2-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/city/code HTTP/1.1 
[INFO ] 2017-09-06 16:49:52,097 --pool-3-thread-4-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/city/code HTTP/1.1 
[INFO ] 2017-09-06 16:49:52,103 --pool-3-thread-3-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/city/code HTTP/1.1 
[INFO ] 2017-09-06 16:49:52,107 --pool-3-thread-1-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/city/code HTTP/1.1 
[INFO ] 2017-09-06 16:49:57,104 --pool-3-thread-2-- [com.avalon.ms.common.util.HttpClientUtil] httpclient close! 
[INFO ] 2017-09-06 16:49:57,104 --pool-3-thread-2-- [com.avalon.ms.schedule.task.service.PrintService] http response 200 
[INFO ] 2017-09-06 16:49:57,105 --pool-3-thread-2-- [com.avalon.ms.schedule.task.service.PrintService] http response content {city:1} 
[INFO ] 2017-09-06 16:49:57,106 --pool-3-thread-4-- [com.avalon.ms.common.util.HttpClientUtil] httpclient close! 
[INFO ] 2017-09-06 16:49:57,106 --pool-3-thread-4-- [com.avalon.ms.schedule.task.service.PrintService] http response 200 
[INFO ] 2017-09-06 16:49:57,107 --pool-3-thread-4-- [com.avalon.ms.schedule.task.service.PrintService] http response content {city:3} 
[INFO ] 2017-09-06 16:49:57,116 --pool-3-thread-3-- [com.avalon.ms.common.util.HttpClientUtil] httpclient close! 
[INFO ] 2017-09-06 16:49:57,116 --pool-3-thread-3-- [com.avalon.ms.schedule.task.service.PrintService] http response 200 
[INFO ] 2017-09-06 16:49:57,116 --pool-3-thread-3-- [com.avalon.ms.schedule.task.service.PrintService] http response content {city:2} 
[INFO ] 2017-09-06 16:49:57,119 --pool-3-thread-2-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/city/code HTTP/1.1 
